id_format,n,pct,ci_lower,ci_upper,ci_str
sequential_int,31,60.8,47.1,73.0,"[47.1%, 73.0%]"
encoded_id,9,17.6,9.3,30.5,"[9.3%, 30.5%]"
username,6,11.8,5.1,23.7,"[5.1%, 23.7%]"
email,2,3.9,0.3,14.0,"[0.3%, 14.0%]"
uuid,2,3.9,0.3,14.0,"[0.3%, 14.0%]"
hash,1,2.0,0.0,11.3,"[0.0%, 11.3%]"
